Name,PvX,Weap Type,Archetype,Perk 1,Perk 2,Perk 3,Perk 4
roar of the bear,pvp,Rocket Launcher,High-Impact Frame,"['Volatile Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds']","['Tracking Module', 'Snapshot Sights']",['Quickdraw']
shining sphere,pve,Rocket Launcher,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'Impact Casing']","['Auto-Loading Holster', 'Field Prep']","['Tracking Module', 'Demolitionist']"
shining sphere,pvp,Rocket Launcher,Adaptive Frame,"['Volatile Launch', 'Confined Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds']",['Auto-Loading Holster'],"['Tracking Module', 'Demolitionist']"
sleepless,pve,Rocket Launcher,High-Impact Frame,"['Linear Compensator', 'Quick Launch']",['High-Velocity Rounds'],['Auto-Loading Holster'],['Cluster Bomb']
zenobia-d,pve,Rocket Launcher,Häkke Precision Frame,"['Volatile Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds']","['Snapshot Sights', 'Auto-Loading Holster']","['Cluster Bomb', 'Quickdraw', 'Kill Clip']"
zenobia-d,pvp,Rocket Launcher,Häkke Precision Frame,"['Volatile Launch', 'Linear Compensator']","['Alloy Casing', 'Black Powder', 'High-Velocity Rounds']",['Snapshot Sights'],"['Cluster Bomb', 'Quickdraw']"
abide the return,pve,Sword,Adaptive Frame,"['Hungry Edge', 'Tempered Edge', 'Honed Edge']","['Balanced Guard', 'Heavy Guard']","['Relentless Strikes', 'Tireless Blade']","[""Assassin's Blade"", 'Whirlwind Blade']"
abide the return,pvp,Sword,Adaptive Frame,"['Hungry Edge', 'Tempered Edge']","['Balanced Guard', 'Heavy Guard']",['Relentless Strikes'],"[""Assassin's Blade""]"
just in case,pve,Sword,Adaptive Frame,"['Hungry Edge', 'Tempered Edge']","['Heavy Guard', 'Balanced Guard']","['Tireless Blade', 'Relentless Strikes']","['Shattering Blade', 'En Garde', 'Whirlwind Blade']"
just in case,pvp,Sword,Adaptive Frame,"['Honed Edge', 'Jagged Edge']","['Heavy Guard', 'Enduring Guard']",['Tireless Blade'],"['Shattering Blade', 'En Garde', ""Assassin's Blade""]"
night terror,pve,Sword,Adaptive Frame,"['Honed Edge', 'Jagged Edge', 'Tempered Edge']",['Heavy Guard'],"['Tireless Blade', 'Relentless Strikes']",['Whirlwind Blade']
night terror,pvp,Sword,Adaptive Frame,"['Honed Edge', 'Hungry Edge', 'Enduring Blade']",['Heavy Guard'],['Tireless Blade'],"['En Garde', ""Assassin's Blade""]"
stryker's sure-hand,pve,Sword,Adaptive Frame,"['Tempered Edge', 'Hungry Edge']","['Heavy Guard', 'Balanced Guard', 'Enduring Guard']","['Tireless Blade', 'Relentless Strikes']","['Surrounded', 'Whirlwind Blade']"
stryker's sure-hand,pvp,Sword,Adaptive Frame,"['Tempered Edge', 'Honed Edge', 'Jagged Edge']","['Heavy Guard', 'Burst Guard']","['Tireless Blade', ""Assassin's Blade""]","['Surrounded', 'En Garde']"
